smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,dft_representative,distance_to_dft,distance_to_centroid,is_cluster_center,centroid_latent_1,centroid_latent_2,centroid_latent_3
CC/C=C\CCN1CCNC(=O)[C@@H]1C,-1.2676427244159276,1.1991328473342473,-0.0477261379387153,1,2,14,196.294,True,False,False,3,PM7,239,624779,0.15310246332924163,0.13804978513684124,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC/C=C/CCN1CCNC(=O)[C@H]1C,-1.2676427244159276,1.1991328473342473,-0.0477261379387153,1,2,14,196.294,True,False,False,3,PM7,239,624779,0.15310246332924163,0.13804978513684124,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C=CCOCCN1CCCNC(=O)C1,-1.473195380108017,1.141223822719278,0.0595511207039979,1,3,14,198.266,True,False,False,4,PM7,239,624779,0.1576690315424552,0.17481235943241466,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CC(C)/C(N)=N/OCC1OCCO1,-1.382256947795642,1.1617056303487494,-0.205553270901287,1,4,13,188.22699999999998,True,False,False,5,PM7,239,624779,0.15817603442192268,0.13668315357152008,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
CCOC1(CN)CCCCC1,-1.4669120372053566,1.0642583974871,-0.1958999026826546,1,2,11,157.25699999999998,True,False,False,2,PM7,239,624779,0.1631608493904657,0.15925757136251142,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C[C@@H]1CC[C@](C=O)(CCO)C1,-1.3566140309976218,0.9648198842399962,-0.1542412149930259,1,2,11,156.225,True,False,False,2,PM7,239,624779,0.16409687309970433,0.1661280634357583,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C[C@H]1CC[C@](C=O)(CCO)C1,-1.3566140309976218,0.9648198842399962,-0.1542412149930259,1,2,11,156.225,True,False,False,2,PM7,239,624779,0.16409687309970433,0.1661280634357583,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C[C@@H]1CC[C@@](C=O)(CCO)C1,-1.3566140309976218,0.9648198842399962,-0.1542412149930259,1,2,11,156.225,True,False,False,2,PM7,239,624779,0.16409687309970433,0.1661280634357583,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
C[C@H]1CC[C@@](C=O)(CCO)C1,-1.3566140309976218,0.9648198842399962,-0.1542412149930259,1,2,11,156.225,True,False,False,2,PM7,239,624779,0.16409687309970433,0.1661280634357583,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
COC1CCC(C)(CN)CC1,-1.2944165977669166,1.1341583667407742,0.075664776647224,1,2,11,157.25699999999998,True,False,False,2,PM7,239,624779,0.16607447965302571,0.17342299745178075,False,-1.3702720437763571,1.112163100585875,-0.07872983343565536
